run_id,model,prompt_file,dataset_file,total_samples,valid_samples,parsing_errors,invalid_labels,parsing_rate,invalid_label_rate,json_success_rate,accuracy,precision,recall,f1,tp,tn,fp,fn,timestamp,status,comment,prompt_type,coverage
run_001,llama3:latest,../promts/baseline_truthfulness_v1.txt,../datasets/prepared/truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.8333333333333334,0.75,1.0,0.8571428571428571,3.0,2.0,1.0,0.0,2026-05-03 18:24:56,,,,
run_001,llama3:latest,baseline_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.8333333333333334,0.75,1.0,0.8571428571428571,3.0,2.0,1.0,0.0,2026-05-03 18:27:42,,,,
run_001,llama3:latest,baseline_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.8333333333333334,0.75,1.0,0.8571428571428571,3.0,2.0,1.0,0.0,2026-05-03 18:27:47,,,,
r_0503_1845,llama3:latest,baseline_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.8333333333333334,0.75,1.0,0.8571428571428571,3.0,2.0,1.0,0.0,2026-05-03 18:47:55,,,,
r_0503_2005,llama3:latest,baseline_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.8333333333333334,0.75,1.0,0.8571428571428571,3.0,2.0,1.0,0.0,2026-05-03 20:11:17,,,,
r_0503_2233,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,0,4,6,0.4,0.6,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03 22:55:37,,,,
r_0503_2326,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,0,4,6,0.4,0.6,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03 23:47:26,,,,
r_0503_2358,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,0,4,6,0.4,0.6,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 00:17:32,pending_review,,,
r_0504_0050,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 01:09:37,pending_review,,,
r_0504_0123,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 01:41:19,pending_review,,,
r_0504_0123,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 02:26:39,pending_review,,,
r_0504_0123,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 02:29:43,pending_review,,,
r_0504_0123,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_5.json,10,6,4,0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-04 02:31:45,pending_review,,,
r_0504_1511,llama3:latest,,truthfulqa_binary_40.json,40,20,14,26,0.35,0.65,0.65,0.65,0.8571428571428571,0.5,0.631578947368421,,,,,2026-05-04 18:20:55,pending_review,,,
r_0504_1511,llama3:latest,second_level_truthfulness_v1.txt,truthfulqa_binary_40.json,40,20,20,0,0.5,0.0,0.5,0.65,0.8571428571428571,0.5,0.631578947368421,,,,,2026-05-04 18:25:47,pending_review,,second_level,0.5
r_0504_1827,llama3:latest,,truthfulqa_binary_40.json,40,24,16,0,0.4,0.0,0.6,0.625,0.7,0.5384615384615384,0.6086956521739131,,,,,2026-05-04 18:43:18,pending_review,,,
r_0504_2152,llama3:latest,,truthfulqa_binary_40.json,40,3,37,0,0.925,0.0,0.07499999999999996,1.0,1.0,1.0,1.0,,,,,2026-05-04 22:50:10,pending_review,,,
